"log2FoldChange","AveExpr","t","pvalue","padj","identifier","value","up_down","gene","tax_id","GeneID","LocusTag","chromosome","map_location","description","type","Symbol_autho","name","status","other"
9.27126567604267,-3.05572216580383,3.89730892591445,5.65288806387878e-05,0.000595734536711505,"ENSG00000234042",9.27126567604267,"up","RP11-452D2.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9.27046725044448,10.5958024500227,-4.92847842558841,5.74978748576063e-07,1.27817627235139e-05,"ENSG00000140988",-9.27046725044448,"down","RPS2",9606,6187,"NULL","16","16p13.3","ribosomal protein S2","protein-coding","RPS2","ribosomal protein S2","O","40S ribosomal protein S2|40S ribosomal p"
9.26491308728067,-3.06643005536817,4.08128951093951,2.65684485747088e-05,0.000317897584267344,"ENSG00000212232",9.26491308728067,"up","SNORD17",9606,692086,"NULL","20","20p11.23","small nucleolar RNA, C/D box 17","snoRNA","SNORD17","small nucleolar RNA, C/D box 17","O","NULL"
-9.26489568182381,4.65358779489538,-7.83151003830221,1.595792545283e-14,3.99862231079698e-12,"ENSG00000102901",-9.26489568182381,"down","CENPT",9606,80152,"NULL","16","16q22.1","centromere protein T","protein-coding","CENPT","centromere protein T","O","interphase centromere complex protein 22"
-9.26308147401493,3.44140940760836,-5.02022663171828,3.66498621960623e-07,8.75829901313121e-06,"ENSG00000105339",-9.26308147401493,"down","DENND3",9606,22898,"NULL","8","8q24.3","DENN/MADD domain containing 3","protein-coding","DENND3","DENN/MADD domain containing 3","O","DENN domain-containing protein 3"
-9.26286054387072,8.89187046882674,-5.62464918334978,1.59216003630212e-08,6.12400273873643e-07,"ENSG00000071082",-9.26286054387072,"down","RPL31",9606,6160,"NULL","2","2q11.2","ribosomal protein L31","protein-coding","RPL31","ribosomal protein L31","O","60S ribosomal protein L31"
-9.25456217895173,3.7842370185743,-4.27122360553745,1.1838941360806e-05,0.000159473506044385,"ENSG00000088280",-9.25456217895173,"down","ASAP3",9606,55616,"NULL","1","1p36.12","ArfGAP with SH3 domain, ankyrin repeat and PH domain 3","protein-coding","ASAP3","ArfGAP with SH3 domain, ankyrin repeat and PH domain 3","O","ARF6 GTPase-activating protein|ArfGAP wi"
-9.24264816618342,5.52520715281706,-5.20861105805509,1.42299465584746e-07,3.99196402964861e-06,"ENSG00000172819",-9.24264816618342,"down","RARG",9606,5916,"NULL","12","12q13","retinoic acid receptor, gamma","protein-coding","RARG","retinoic acid receptor, gamma","O","RAR-gamma|nuclear receptor subfamily 1 g"
9.24172812831872,-3.08613125574395,4.26670320406212,1.20722825693665e-05,0.000162010919862049,"ENSG00000266783",9.24172812831872,"up","RP11-715F3.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9.24012953708157,9.3331376093222,-5.47174429792453,3.61866957784037e-08,1.24029539355222e-06,"ENSG00000186468",-9.24012953708157,"down","RPS23",9606,6228,"NULL","5","5q14.2","ribosomal protein S23","protein-coding","RPS23","ribosomal protein S23","O","40S ribosomal protein S23|homolog of yea"
-9.23313438892629,9.181903777066,-5.56680514606921,2.17679622525339e-08,7.96892677695952e-07,"ENSG00000171863",-9.23313438892629,"down","RPS7",9606,6201,"NULL","2","2p25","ribosomal protein S7","protein-coding","RPS7","ribosomal protein S7","O","40S ribosomal protein S7"
-9.23258057720189,4.42824154421311,-4.09780239270417,2.47894438359375e-05,0.000299107412791824,"ENSG00000173209",-9.23258057720189,"down","AHSA2",9606,130872,"NULL","2","2p15","AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)","protein-coding","AHSA2","AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)","O","activator of 90 kDa heat shock protein A"
-9.22162919147951,9.10531543180335,-5.94370548308121,2.70539817644907e-09,1.34534916254285e-07,"ENSG00000125691",-9.22162919147951,"down","RPL23",9606,9349,"NULL","17","17q","ribosomal protein L23","protein-coding","RPL23","ribosomal protein L23","O","60S ribosomal protein L17|60S ribosomal "
-9.21930481748082,9.27652985464679,-5.2617280595221,1.08417812784016e-07,3.19424124445509e-06,"ENSG00000145592",-9.21930481748082,"down","RPL37",9606,6167,"NULL","5","5p13","ribosomal protein L37","protein-coding","RPL37","ribosomal protein L37","O","60S ribosomal protein L37|60S ribosomal "
-9.21577495076536,9.83199694979616,-6.93726077149328,6.5958174047436e-12,7.77312563465879e-10,"ENSG00000174748",-9.21577495076536,"down","RPL15",9606,6138,"TCBAP0781","3","3p24.2","ribosomal protein L15","protein-coding","RPL15","ribosomal protein L15","O","60S ribosomal protein L15"
-9.21223528706687,3.0320935651608,-7.24939709668073,8.58062143411321e-13,1.35034913776237e-10,"ENSG00000166436",-9.21223528706687,"down","TRIM66",9606,9866,"NULL","11","11p15.4","tripartite motif containing 66","protein-coding","TRIM66","tripartite motif containing 66","O","transcriptional intermediary factor 1 de"
-9.19735510874513,0.324722093746147,-4.27225912242796,1.17827908390369e-05,0.000158966047446264,"ENSG00000116039",-9.19735510874513,"down","ATP6V1B1",9606,525,"NULL","2","2p13.1","ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B1","protein-coding","ATP6V1B1","ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B1","O","H(+)-transporting two-sector ATPase, 58k"
-9.19136303094019,3.42402944037691,-6.62920024507951,4.60876774938453e-11,4.13012801541199e-09,"ENSG00000083097",-9.19136303094019,"down","DOPEY1",9606,23033,"RP1-202D23.2","6","6q15","dopey family member 1","protein-coding","DOPEY1","dopey family member 1","O","homolog of yeast DOP1|protein dopey-1"
-9.18349565935829,6.08840631750707,-3.98180524402342,4.00754479437622e-05,0.00044873913250327,"ENSG00000177606",-9.18349565935829,"down","JUN",9606,3725,"NULL","1","1p32-p31","jun proto-oncogene","protein-coding","JUN","jun proto-oncogene","O","Jun activation domain binding protein|ac"
-9.18225927800248,5.39637342003083,-5.66296470051685,1.29231438562259e-08,5.10770933821338e-07,"ENSG00000053254",-9.18225927800248,"down","FOXN3",9606,1112,"NULL","14","14q31.3","forkhead box N3","protein-coding","FOXN3","forkhead box N3","O","checkpoint suppressor 1|forkhead box pro"
-9.17745730446542,4.14290379355406,-4.51851024201461,3.9535341954195e-06,6.36536269804004e-05,"ENSG00000197077",-9.17745730446542,"down","KIAA1671",9606,85379,"CTA-221G9.4","22","22q11.23","KIAA1671","protein-coding","KIAA1671","KIAA1671","O","CTA-221G9.5|uncharacterized protein KIAA"
-9.17171642288478,0.0335166104118948,-4.18936503747262,1.68257830249481e-05,0.000215395895537516,"ENSG00000130518",-9.17171642288478,"down","KIAA1683",9606,80726,"NULL","19","19p13.1","KIAA1683","protein-coding","KIAA1683","KIAA1683","O","uncharacterized protein KIAA1683"
-9.17092767526636,9.51029572321163,-6.56438873902511,6.87653092836928e-11,5.7622203483858e-09,"ENSG00000089009",-9.17092767526636,"down","RPL6",9606,6128,"NULL","12","12q24.1","ribosomal protein L6","protein-coding","RPL6","ribosomal protein L6","O","60S ribosomal protein L6|DNA-binding pro"
-9.16427999906689,2.64453242222379,-4.16252308656289,1.88605044758531e-05,0.000237681035164694,"ENSG00000099337",-9.16427999906689,"down","KCNK6",9606,9424,"NULL","19","19q13.1","potassium channel, subfamily K, member 6","protein-coding","KCNK6","potassium channel, subfamily K, member 6","O","K2P6.1 potassium channel|TWIK-originated"
-9.1554208378614,3.7328935429198,-4.23665215728482,1.373873327798e-05,0.000181465182789859,"ENSG00000136153",-9.1554208378614,"down","LMO7",9606,4008,"RP11-332E3.2","13","13q22.2","LIM domain 7","protein-coding","LMO7","LIM domain 7","O","F-box only protein 20|F-box protein Fbx2"
-9.1499491445636,5.47407357516547,-6.3824311284876,2.07978306038807e-10,1.4993609219429e-08,"ENSG00000183426",-9.1499491445636,"down","NPIPA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9.14539052298066,-0.136921741670087,-3.81189401013549,7.94224264604933e-05,0.000796184262282323,"ENSG00000153823",-9.14539052298066,"down","PID1",9606,55022,"HMFN2073","2","2q36.3","phosphotyrosine interaction domain containing 1","protein-coding","PID1","phosphotyrosine interaction domain containing 1","O","PTB-containing, cubilin and LRP1-interac"
-9.14482560462693,2.33414824359421,-4.27310646320166,1.17367910627126e-05,0.000158594157349502,"ENSG00000264112",-9.14482560462693,"down","RP11-159D12.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9.14474987760662,7.11854330302733,-4.89494374693791,6.76571026151028e-07,1.46446936626933e-05,"ENSG00000143537",-9.14474987760662,"down","ADAM15",9606,8751,"RP11-540D14.1","1","1q21.3","ADAM metallopeptidase domain 15","protein-coding","ADAM15","ADAM metallopeptidase domain 15","O","MDC-15|a disintegrin and metalloproteina"
-9.13961146504253,-6.55651074651382,-5.13174837546067,2.10040584449669e-07,5.47569438794093e-06,"ENSG00000142615",-9.13961146504253,"down","CELA2A",9606,63036,"NULL","1","1p36.21","chymotrypsin-like elastase family, member 2A","protein-coding","CELA2A","chymotrypsin-like elastase family, member 2A","O","chymotrypsin-like elastase family member"
-9.13709434121932,1.55690300581283,-4.5122625862398,4.06660491116883e-06,6.51085646106429e-05,"ENSG00000116883",-9.13709434121932,"down","RP11-268J15.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9.13590293502927,-0.381898686625121,-3.79708009265072,8.4204541695607e-05,0.000832019531631669,"ENSG00000183578",-9.13590293502927,"down","TNFAIP8L3",9606,388121,"NULL","15","15q21.2","tumor necrosis factor, alpha-induced protein 8-like 3","protein-coding","TNFAIP8L3","tumor necrosis factor, alpha-induced protein 8-like 3","O","TNF alpha-induced protein 8-like protein"
-9.13497988443853,10.1405158877143,-5.13086753595597,2.10973406298855e-07,5.48892403545075e-06,"ENSG00000204628",-9.13497988443853,"down","GNB2L1",9606,10399,"HLC7","5","5q35.3","guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1","protein-coding","GNB2L1","guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1","O","cell proliferation-inducing gene 21 prot"
9.13300885942429,-3.20055938294779,4.00543746807865,3.63565460885511e-05,0.00041154653421027,"ENSG00000261783",9.13300885942429,"up","RP11-252K23.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9.12458590094612,4.77187988868742,-8.81238385940522,1.16975972087939e-17,7.9448233253095e-15,"ENSG00000135503",-9.12458590094612,"down","ACVR1B",9606,91,"NULL","12","12q13","activin A receptor, type IB","protein-coding","ACVR1B","activin A receptor, type IB","O","activin A receptor, type II-like kinase "
-9.12341042421752,3.55779571799089,-4.91335480352135,6.18748957234024e-07,1.35793297935824e-05,"ENSG00000205746",-9.12341042421752,"down","RP11-1212A22.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9.12234014248234,-0.472224873646128,-3.7647517931812,9.56111970615303e-05,0.000928727657117439,"ENSG00000115590",-9.12234014248234,"down","IL1R2",9606,7850,"NULL","2","2q12","interleukin 1 receptor, type II","protein-coding","IL1R2","interleukin 1 receptor, type II","O","CD121 antigen-like family member B|IL-1 "
-9.1194400395326,5.73169072157354,-6.50518035498063,9.88433200410944e-11,7.66080254336518e-09,"ENSG00000003402",-9.1194400395326,"down","CFLAR",9606,8837,"NULL","2","2q33-q34","CASP8 and FADD-like apoptosis regulator","protein-coding","CFLAR","CASP8 and FADD-like apoptosis regulator","O","FADD-like anti-apoptotic molecule|FADD-l"
-9.11329176371163,0.978671172364196,-4.02164708836496,3.40023503685564e-05,0.000390029626960921,"ENSG00000197822",-9.11329176371163,"down","OCLN",9606,100506658,"hCG_1988850","5","5q13.1","occludin","protein-coding","OCLN","occludin","O","tight junction protein occludin"
-9.11139927986924,6.23380178806948,-4.99883364580241,4.07251394132344e-07,9.56392286729907e-06,"ENSG00000169926",-9.11139927986924,"down","KLF13",9606,51621,"NULL","15","15q12","Kruppel-like factor 13","protein-coding","KLF13","Kruppel-like factor 13","O","BTE-binding protein 3|Krueppel-like fact"
-9.11059385031453,4.55547329932668,-4.4203310332236,6.14531170283592e-06,9.21146286579405e-05,"ENSG00000120913",-9.11059385031453,"down","PDLIM2",9606,64236,"PP6345","8","8p21.3","PDZ and LIM domain 2 (mystique)","protein-coding","PDLIM2","PDZ and LIM domain 2 (mystique)","O","PDZ and LIM domain protein 2"
-9.10949346220232,9.31844901887239,-5.53794911190357,2.54173797599235e-08,9.09843487134349e-07,"ENSG00000182774",-9.10949346220232,"down","RPS17",9606,6218,"NULL","15","15q","ribosomal protein S17","protein-coding","RPS17","ribosomal protein S17","O","40S ribosomal protein S17"
-9.10720875622363,4.79609558280443,-5.09118729824025,2.57458497521568e-07,6.46376105304879e-06,"ENSG00000141232",-9.10720875622363,"down","TOB1",9606,10140,"NULL","17","17q21","transducer of ERBB2, 1","protein-coding","TOB1","transducer of ERBB2, 1","O","proliferation-inducing gene 49|protein T"
-9.1008642099994,3.8662311367434,-4.63795391453655,2.28615715344669e-06,4.07763856069839e-05,"ENSG00000138640",-9.1008642099994,"down","FAM13A",9606,10144,"NULL","4","4q22.1","family with sequence similarity 13, member A","protein-coding","FAM13A","family with sequence similarity 13, member A","O","FAM13A1_v2 protein|family with sequence "
9.09643961502766,-3.23213209593147,3.93365842978947,4.87342590259048e-05,0.000528258081142199,"ENSG00000219392",9.09643961502766,"up","RP1-265C24.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9.08999521756806,5.566432315851,-7.06519097964679,2.88323984975285e-12,3.81607883498827e-10,"ENSG00000185963",-9.08999521756806,"down","BICD2",9606,23299,"RP11-476B13.3","9","9q22.31","bicaudal D homolog 2 (Drosophila)","protein-coding","BICD2","bicaudal D homolog 2 (Drosophila)","O","bic-D 2|coiled-coil protein BICD2|cytosk"
-9.08954392089076,8.70555531099737,-6.52396147209817,8.81221287601718e-11,6.95518049287851e-09,"ENSG00000134419",-9.08954392089076,"down","RPS15A",9606,6210,"OK/SW-cl.82","16","16p","ribosomal protein S15a","protein-coding","RPS15A","ribosomal protein S15a","O","40S ribosomal protein S15a|up-regulated "
-9.08730891704072,5.8010491162349,-6.4167871908779,1.69077967933798e-10,1.23969695295551e-08,"ENSG00000123066",-9.08730891704072,"down","MED13L",9606,23389,"NULL","12","12q24.21","mediator complex subunit 13-like","protein-coding","MED13L","mediator complex subunit 13-like","O","mediator of RNA polymerase II transcript"
-9.08384573136399,-6.56870698640949,-4.42498929999189,6.01851566192594e-06,9.05197381810294e-05,"ENSG00000223863",-9.08384573136399,"down","AC008074.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9.07365160488681,7.13144642175843,-8.0614497186968,3.10529864094817e-15,9.65598224388328e-13,"ENSG00000131051",-9.07365160488681,"down","RBM39",9606,9584,"RP11-353C18.2","20","20q11.22","RNA binding motif protein 39","protein-coding","RBM39","RNA binding motif protein 39","O","RNA-binding protein 39|RNA-binding regio"
9.07002958591182,-0.120043086625595,3.89534370906307,5.68830738561175e-05,0.000598733790029583,"ENSG00000213131",9.07002958591182,"up","YWHAZP4",9606,246737,"NULL","6","6q23.1","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta pseudogene 4","pseudo","YWHAZP4","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta pseudogene 4","O","NULL"
-9.06732438464759,3.13700003056921,-3.81248460030326,7.91800168604167e-05,0.000794540068098948,"ENSG00000047365",-9.06732438464759,"down","ARAP2",9606,116984,"NULL","4","4p14","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2","protein-coding","ARAP2","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2","O","Arf and Rho GAP adapter protein 2|arf-GA"
-9.06435776344331,4.86851933842067,-6.47031994851328,1.22234788666669e-10,9.14422510347267e-09,"ENSG00000072134",-9.06435776344331,"down","EPN2",9606,22905,"NULL","17","17p11.2","epsin 2","protein-coding","EPN2","epsin 2","O","EPS-15-interacting protein 2|Eps15 bindi"
-9.0613862987548,9.36938407625007,-5.84520860566109,4.71558974233e-09,2.13892189208778e-07,"ENSG00000156482",-9.0613862987548,"down","RPL30",9606,6156,"NULL","8","8q22","ribosomal protein L30","protein-coding","RPL30","ribosomal protein L30","O","60S ribosomal protein L30"
-9.05986177676481,5.89841690376195,-4.28758261441558,1.10180962952116e-05,0.000150140468470495,"ENSG00000175866",-9.05986177676481,"down","BAIAP2",9606,10458,"NULL","17","17q25","BAI1-associated protein 2","protein-coding","BAIAP2","BAI1-associated protein 2","O","IRS-58|IRSp53/58|brain-specific angiogen"
-9.05954674492159,-0.534507793175115,-3.971634539012,4.17409487426886e-05,0.00046455030017251,"ENSG00000042062",-9.05954674492159,"down","FAM65C",9606,140876,"NULL","20","20q13.13","family with sequence similarity 65, member C","protein-coding","FAM65C","family with sequence similarity 65, member C","O","protein FAM65C"
-9.05819726889668,7.10688881190152,-5.90596969662528,3.35011531287651e-09,1.59526062933634e-07,"ENSG00000153113",-9.05819726889668,"down","CAST",9606,831,"NULL","5","5q15","calpastatin","protein-coding","CAST","calpastatin","O","calpain inhibitor|sperm BS-17 component"
-9.05188167788257,4.07586352812392,-7.07386970650149,2.72468283245702e-12,3.64359270584887e-10,"ENSG00000107554",-9.05188167788257,"down","DNMBP",9606,23268,"RP11-114F7.3","10","10q24.2","dynamin binding protein","protein-coding","DNMBP","dynamin binding protein","O","dynamin-binding protein|scaffold protein"
-9.05143673446983,5.67957546084813,-3.88884970775257,5.83797632458244e-05,0.000610751240215436,"ENSG00000141736",-9.05143673446983,"down","ERBB2",9606,2064,"NULL","17","17q12","v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)","protein-coding","ERBB2","v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)","O","c-erb B2/neu protein|herstatin|metastati"
-9.03928576397372,-6.5573007385608,-3.91863569188878,5.1768718429537e-05,0.000553250043042617,"ENSG00000182333",-9.03928576397372,"down","LIPF",9606,8513,"RP11-186O14.1","10","10q23.31","lipase, gastric","protein-coding","LIPF","lipase, gastric","O","gastric lipase|gastric triacylglycerol l"
-9.02692313326648,4.12910976519472,-4.34312287331971,8.64365746885687e-06,0.000122573711875674,"ENSG00000119900",-9.02692313326648,"down","OGFRL1",9606,79627,"NULL","6","6q13","opioid growth factor receptor-like 1","protein-coding","OGFRL1","opioid growth factor receptor-like 1","O","opioid growth factor receptor-like prote"
-9.02458666499844,-0.65754892769096,-3.91687742655389,5.21321212162168e-05,0.00055644247992942,"ENSG00000228727",-9.02458666499844,"down","SAPCD1",9606,401251,"DAAP-21F2.3","6","6p21.33","suppressor APC domain containing 1","protein-coding","SAPCD1","suppressor APC domain containing 1","O","protein G7d|suppressor APC domain-contai"
-9.02228082233035,3.80735075723479,-3.78117092846522,8.95549219897617e-05,0.000875501129406727,"ENSG00000221869",-9.02228082233035,"down","CEBPD",9606,1052,"NULL","8","8p11.2-p11.1","CCAAT/enhancer binding protein (C/EBP), delta","protein-coding","CEBPD","CCAAT/enhancer binding protein (C/EBP), delta","O","CCAAT/enhancer-binding protein delta|c/E"
-9.01623884775618,5.18306187870897,-7.8807139210671,1.12754570449957e-14,2.96947215177851e-12,"ENSG00000109787",-9.01623884775618,"down","KLF3",9606,51274,"NULL","4","4p14","Kruppel-like factor 3 (basic)","protein-coding","KLF3","Kruppel-like factor 3 (basic)","O","CACCC-box-binding protein BKLF|Krueppel-"
-9.01304996043092,4.65012577373358,-9.25561441844361,3.69160316183627e-19,3.52876244458638e-16,"ENSG00000163516",-9.01304996043092,"down","ANKZF1",9606,55139,"NULL","2","2q35","ankyrin repeat and zinc finger domain containing 1","protein-coding","ANKZF1","ankyrin repeat and zinc finger domain containing 1","O","ankyrin repeat and zinc finger domain-co"
-9.00659275597154,4.09210276173378,-6.16598612972293,7.51069242468835e-10,4.4664391886816e-08,"ENSG00000107679",-9.00659275597154,"down","PLEKHA1",9606,59338,"RP11-436O19__A.1","10","10q26.13","pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1","protein-coding","PLEKHA1","pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1","O","pleckstrin homology domain-containing fa"
-9.0006748030649,5.50796626713553,-10.4766971914017,1.53433348735045e-23,2.82854378393055e-20,"ENSG00000184863",-9.0006748030649,"down","RBM33",9606,155435,"hCG_20114","7","7q36.3","RNA binding motif protein 33","protein-coding","RBM33","RNA binding motif protein 33","O","RNA-binding motif protein 33|RNA-binding"
-8.99624698626513,5.5532191691428,-4.7578531203603,1.30384317100714e-06,2.53586197441773e-05,"ENSG00000140416",-8.99624698626513,"down","TPM1",9606,7168,"NULL","15","15q22.1","tropomyosin 1 (alpha)","protein-coding","TPM1","tropomyosin 1 (alpha)","O","alpha-tropomyosin|cardiomyopathy, hypert"
-8.98498273096823,8.75471814583274,-7.0000197856386,4.40147731856367e-12,5.48781295240627e-10,"ENSG00000108654",-8.98498273096823,"down","DDX5",9606,1655,"NULL","17","17q21","DEAD (Asp-Glu-Ala-Asp) box helicase 5","protein-coding","DDX5","DEAD (Asp-Glu-Ala-Asp) box helicase 5","O","ATP-dependent RNA helicase DDX5|DEAD (As"
-8.9837804337224,8.93080866373861,-8.54331081944166,9.00058474075444e-17,4.64592183148263e-14,"ENSG00000173812",-8.9837804337224,"down","EIF1",9606,10209,"NULL","17","17q21.2","eukaryotic translation initiation factor 1","protein-coding","EIF1","eukaryotic translation initiation factor 1","O","protein translation factor SUI1 homolog|"
-8.98225113239123,10.4323001733429,-3.98788348718834,3.9034118713209e-05,0.00043896800430031,"ENSG00000113140",-8.98225113239123,"down","SPARC",9606,6678,"NULL","5","5q31.3-q32","secreted protein, acidic, cysteine-rich (osteonectin)","protein-coding","SPARC","secreted protein, acidic, cysteine-rich (osteonectin)","O","BM-40|basement-membrane protein 40|cyste"
-8.9807857062339,9.55649963492774,-4.97208138882059,4.64434873428668e-07,1.06832438933338e-05,"ENSG00000162244",-8.9807857062339,"down","RPL29",9606,6159,"NULL","3","3p21.3-p21.2","ribosomal protein L29","protein-coding","RPL29","ribosomal protein L29","O","60S ribosomal protein L29|HP/HS-interact"
-8.97974840103521,5.79046986611975,-6.9231654892261,7.22025714523219e-12,8.28211629605767e-10,"ENSG00000198728",-8.97974840103521,"down","LDB1",9606,8861,"NULL","10","10q24-q25","LIM domain binding 1","protein-coding","LDB1","LIM domain binding 1","O","CLIM-2|LDB-1|LIM domain-binding factor C"
-8.97798619835229,0.434082094890157,-4.89641169572718,6.71626349036394e-07,1.45663902876305e-05,"ENSG00000276710",-8.97798619835229,"down","CSPG4P10",9606,390627,"NULL","15","15q25.2","chondroitin sulfate proteoglycan 4 pseudogene 10","pseudo","CSPG4P10","chondroitin sulfate proteoglycan 4 pseudogene 10","O","NULL"
-8.96647103298547,9.37668982097648,-5.35561070625004,6.66663046696273e-08,2.1059861165464e-06,"ENSG00000008988",-8.96647103298547,"down","RPS20",9606,6224,"NULL","8","8q12","ribosomal protein S20","protein-coding","RPS20","ribosomal protein S20","O","40S ribosomal protein S20"
-8.9567313657198,6.77332979002772,-4.10776999035841,2.37360094809033e-05,0.000288176133127289,"ENSG00000138434",-8.9567313657198,"down","SSFA2",9606,6744,"NULL","2","2q31.3","sperm specific antigen 2","protein-coding","SSFA2","sperm specific antigen 2","O","KRAS-induced actin-interacting protein|c"
-8.95664677974827,-0.256235107551151,-4.41698270765336,6.23441608194822e-06,9.32236643447286e-05,"ENSG00000281026",-8.95664677974827,"down","N4BP2L2-IT2",9606,116828,"NULL","13","13q13.1","N4BPL2 intronic transcript 2 (non-protein coding)","miscRNA","N4BP2L2-IT2","N4BPL2 intronic transcript 2 (non-protein coding)","O","NULL"
-8.95641141368099,10.5699468174993,-4.46013707762935,5.14104051235092e-06,7.95474308053146e-05,"ENSG00000161016",-8.95641141368099,"down","RPL8",9606,6132,"NULL","8","8q24.3","ribosomal protein L8","protein-coding","RPL8","ribosomal protein L8","O","60S ribosomal protein L8"
-8.95198408432658,3.81237792804149,-5.7244925779517,9.22138973988905e-09,3.79577109723758e-07,"ENSG00000268350",-8.95198408432658,"down","FAM156A",9606,29057,"RP1-248F5.1","X","Xp11.22","family with sequence similarity 156, member A","protein-coding","FAM156A","family with sequence similarity 156, member A","O","protein FAM156A|protein FAM156A/FAM156B|"
-8.94813409772629,5.37247889629597,-7.21545762265233,1.07468408054982e-12,1.59405295602932e-10,"ENSG00000156030",-8.94813409772629,"down","ELMSAN1",9606,91748,"NULL","14","14q24.3","ELM2 and Myb/SANT-like domain containing 1","protein-coding","ELMSAN1","ELM2 and Myb/SANT-like domain containing 1","O","ELM2 and SANT domain-containing protein "
-8.94422577560971,2.54576055545526,-7.50140825414512,1.57286575976306e-13,2.98405887745201e-11,"ENSG00000133794",-8.94422577560971,"down","ARNTL",9606,406,"NULL","11","11p15","aryl hydrocarbon receptor nuclear translocator-like","protein-coding","ARNTL","aryl hydrocarbon receptor nuclear translocator-like","O","ARNT-like protein 1, brain and muscle|PA"
-8.94392086540583,6.77701698239395,-5.74028015192401,8.45248947852486e-09,3.52423749517363e-07,"ENSG00000196535",-8.94392086540583,"down","MYO18A",9606,399687,"NULL","17","17q11.2","myosin XVIIIA","protein-coding","MYO18A","myosin XVIIIA","O","MAJN|SP-A receptor subunit SP-R210 alpha"
-8.9416499055094,6.51147945170562,-7.35161536710677,4.33473778364327e-13,7.50840586966773e-11,"ENSG00000170876",-8.9416499055094,"down","TMEM43",9606,79188,"UNQ2564/PRO6244","3","3p25.1","transmembrane protein 43","protein-coding","TMEM43","transmembrane protein 43","O","NULL"
-8.94022274566552,5.99208751244515,-5.13748875514473,2.04020527449443e-07,5.34033041880596e-06,"ENSG00000175662",-8.94022274566552,"down","TOM1L2",9606,146691,"UNQ3124","17","17p11.2","target of myb1-like 2 (chicken)","protein-coding","TOM1L2","target of myb1-like 2 (chicken)","O","TOM1-like protein 2|target of Myb-like p"
-8.93178647790142,5.90708544063918,-3.94193275541491,4.70671367652727e-05,0.000512988062827248,"ENSG00000090006",-8.93178647790142,"down","LTBP4",9606,8425,"NULL","19","19q13.1-q13.2","latent transforming growth factor beta binding protein 4","protein-coding","LTBP4","latent transforming growth factor beta binding protein 4","O","latent transforming growth factor-beta b"
-8.93051895445971,5.44508043669634,-6.93241226372038,6.80436758517531e-12,7.89213612888602e-10,"ENSG00000185619",-8.93051895445971,"down","PCGF3",9606,10336,"NULL","4","4p16.3","polycomb group ring finger 3","protein-coding","PCGF3","polycomb group ring finger 3","O","RING finger protein 3A|polycomb group RI"
-8.92824316905712,6.31191368737967,-7.85528895772994,1.34947721200738e-14,3.44838191729687e-12,"ENSG00000017797",-8.92824316905712,"down","RALBP1",9606,10928,"NULL","18","18p11.3","ralA binding protein 1","protein-coding","RALBP1","ralA binding protein 1","O","76 kDa Ral-interacting protein|DNP-SG AT"
-8.92432198959771,7.84245285999111,-10.1631898565588,2.20548526165683e-22,3.34831583047653e-19,"ENSG00000116560",-8.92432198959771,"down","SFPQ",9606,6421,"NULL","1","1p34.3","splicing factor proline/glutamine-rich","protein-coding","SFPQ","splicing factor proline/glutamine-rich","O","100 kDa DNA-pairing protein|DNA-binding "
-8.92280944338938,-0.773788757648257,-4.20170386452491,1.59426894972699e-05,0.000206041498865818,"ENSG00000272078",-8.92280944338938,"down","RP4-734G22.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8.91886684871249,4.98374379683048,-6.9636130296233,5.5674239810371e-12,6.65229840400863e-10,"ENSG00000066739",-8.91886684871249,"down","ATG2B",9606,55102,"NULL","14","14q32.2","autophagy related 2B","protein-coding","ATG2B","autophagy related 2B","O","ATG2 autophagy related 2 homolog B|autop"
